id,name,time,value,note
BRA001011,Rondonia,1991,1133000,
BRA001012,Acre,1991,417000,
BRA001013,Amazonas,1991,2103000,
BRA001014,Roraima,1991,218000,
BRA001015,Para,1991,4949000,
BRA001016,Amapa,1991,289000,
BRA001017,Tocantins,1991,918000,
BRA002021,Maranhao,1991,4930000,
BRA002022,Piaui,1991,2582000,
BRA002023,Ceara,1991,6366000,
BRA002024,Rio Grande do Norte,1991,2415000,
BRA002025,Paraiba,1991,3201000,
BRA002026,Pernambuco,1991,7128000,
BRA002027,Alagoas,1991,2513000,
BRA002028,Sergipe,1991,1492000,
BRA002029,Bahia,1991,11867000
BRA003031,Minas Gerais,1991,15744000
BRA003032,Espirito Santo,1991,2601000
BRA003033,Rio de Janeiro,1991,12807000
BRA003035,Sao Paulo,1991,31589000
BRA004041,Parana,1991,8449000
BRA004042,Santa Catarina,1991,4542000
BRA004043,Rio Grande do Sul,1991,9138000
BRA005050,Mato Grosso do Sul,1991,1780000
BRA005051,Mato Grosso,1991,2026000
BRA005052,Goias,1991,4018000
BRA005053,Distrito Federal,1991,1601000
BRA001011,Rondonia,2006,1567000
BRA001012,Acre,2006,664000
BRA001013,Amazonas,2006,3351000
BRA001014,Roraima,2006,405000
BRA001015,Para,2006,7136000
BRA001016,Amapa,2006,619000
BRA001017,Tocantins,2006,1337000
BRA002021,Maranhao,2006,6199000
BRA002022,Piaui,2006,3041000
BRA002023,Ceara,2006,8238000
BRA002024,Rio Grande do Norte,2006,3051000
BRA002025,Paraiba,2006,3628000
BRA002026,Pernambuco,2006,8518000
BRA002027,Alagoas,2006,3057000
BRA002028,Sergipe,2006,2007000
BRA002029,Bahia,2006,13974000
BRA003031,Minas Gerais,2006,19522000
BRA003032,Espirito Santo,2006,3474000
BRA003033,Rio de Janeiro,2006,15593000
BRA003035,Sao Paulo,2006,41164000
BRA004041,Parana,2006,10410000
BRA004042,Santa Catarina,2006,5974000
BRA004043,Rio Grande do Sul,2006,10984000
BRA005050,Mato Grosso do Sul,2006,2304000
BRA005051,Mato Grosso,2006,2866000
BRA005052,Goias,2006,5750000
BRA005053,Distrito Federal,2006,2393000
BRA001011,Rondonia,2007,1595000
BRA001012,Acre,2007,679000
BRA001013,Amazonas,2007,3431000
BRA001014,Roraima,2007,418000
BRA001015,Para,2007,7275000
BRA001016,Amapa,2007,641000
BRA001017,Tocantins,2007,1364000
BRA002021,Maranhao,2007,6280000
BRA002022,Piaui,2007,3071000
BRA002023,Ceara,2007,8358000
BRA002024,Rio Grande do Norte,2007,3092000
BRA002025,Paraiba,2007,3655000
BRA002026,Pernambuco,2007,8608000
BRA002027,Alagoas,2007,3092000
BRA002028,Sergipe,2007,2040000
BRA002029,Bahia,2007,14109000
BRA003031,Minas Gerais,2007,19765000
BRA003032,Espirito Santo,2007,3530000
BRA003033,Rio de Janeiro,2007,15772000
BRA003035,Sao Paulo,2007,41779000
BRA004041,Parana,2007,10535000
BRA004042,Santa Catarina,2007,6066000
BRA004043,Rio Grande do Sul,2007,11103000
BRA005050,Mato Grosso do Sul,2007,2338000
BRA005051,Mato Grosso,2007,2920000
BRA005052,Goias,2007,5861000
BRA005053,Distrito Federal,2007,2444000
IND001,Jammu & Kashmir,2001,10143700
IND002,Himachal Pradesh,2001,6077900
IND003,Punjab,2001,24358999
IND004,Chandigarh,2001,900635
IND005,Uttarakhand,2001,8489349
IND006,Haryana,2001,21144564
IND007,Delhi,2001,13850507
IND008,Rajasthan,2001,56507188
IND009,Uttar Pradesh,2001,166197921
IND010,Bihar,2001,82998509
IND011,Sikkim,2001,540851
IND012,Arunachal Pradesh,2001,1097968
IND013,Nagaland,2001,1990036
IND014,Manipur,2001,2293896
IND015,Mizoram,2001,888573
IND016,Tripura,2001,3199203
IND017,Meghalaya,2001,2318822
IND018,Assam,2001,26655528
IND019,West Bengal,2001,80176197
IND020,Jharkhand,2001,26945829
IND021,Orissa,2001,36804660
IND022,Chhattisgarh,2001,20833803
IND023,Madhya Pradesh,2001,60348023
IND024,Gujarat,2001,50671017
IND025,Daman & Diu,2001,158204
IND026,Dadra & Nagar Haveli,2001,220490
IND027,Maharashtra,2001,96878627
IND028,Andhra Pradesh,2001,76210007
IND029,Karnataka,2001,52850562
IND030,Goa,2001,1347668
IND031,Lakshadweep,2001,60650
IND032,Kerala,2001,31841374
IND033,Tamil Nadu,2001,62405679
IND034,Pondicherry,2001,974345
IND035,Andaman & Nicobar Islands,2001,356152
IND001,Jammu & Kashmir,2011,12548926
IND002,Himachal Pradesh,2011,6856509
IND003,Punjab,2011,27704236
IND004,Chandigarh,2011,1054686
IND005,Uttarakhand,2011,10116752
IND006,Haryana,2011,25353081
IND007,Delhi,2011,16753235
IND008,Rajasthan,2011,68621012
IND009,Uttar Pradesh,2011,199581477
IND010,Bihar,2011,103804637
IND011,Sikkim,2011,607688
IND012,Arunachal Pradesh,2011,1382611
IND013,Nagaland,2011,1980602
IND014,Manipur,2011,2721756
IND015,Mizoram,2011,1091014
IND016,Tripura,2011,3671032
IND017,Meghalaya,2011,2964007
IND018,Assam,2011,31169272
IND019,West Bengal,2011,91347736
IND020,Jharkhand,2011,32966238
IND021,Orissa,2011,41947358
IND022,Chhattisgarh,2011,25540196
IND023,Madhya Pradesh,2011,72597565
IND024,Gujarat,2011,60383628
IND025,Daman & Diu,2011,242911
IND026,Dadra & Nagar Haveli,2011,342853
IND027,Maharashtra,2011,112372972
